
  DETECT | R: 4.130 m | V:-0.064 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 3.577 | Y: 2.065 | P:3.784e+10
  DETECT | R: 8.823 m | V:-0.440 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 7.641 | Y: 4.412 | P:3.245e+10

FRAME 4 | Timestamp: 1774891058.9968 | Latency: 1181.11 ms | NumBeams: 25 | KeptAfter3DNMS: 36
  DETECT | R: 0.624 m | V:-4.834 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.541 | Y: 0.312 | P:1.359e+13
  DETECT | R: 1.268 m | V:-6.982 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-1.098 | Y: 0.634 | P:3.003e+11
  DETECT | R: 6.291 m | V:-7.743 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-5.448 | Y: 3.146 | P:3.873e+09
  DETECT | R: 8.800 m | V:-7.729 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.621 | Y: 4.400 | P:2.048e+10
  DETECT | R: 8.892 m | V:-8.355 m/s | Beam: -55.00 deg | AoA: -55.00 deg | X:-7.284 | Y: 5.100 | P:3.428e+10
  DETECT | R: 5.009 m | V:-0.017 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.542 | Y: 3.542 | P:1.823e+11
  DETECT | R: 5.490 m | V:-0.037 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.882 | Y: 3.882 | P:6.924e+10
  DETECT | R: 0.626 m | V:-4.826 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-0.265 | Y: 0.568 | P:3.342e+12
  DETECT | R: 0.626 m | V:-2.746 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-0.265 | Y: 0.567 | P:3.337e+12
  DETECT | R: 3.458 m | V:-0.028 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-1.461 | Y: 3.134 | P:6.116e+10
  DETECT | R: 1.270 m | V:-7.184 m/s | Beam: -20.00 deg | AoA: -20.00 deg | X:-0.434 | Y: 1.194 | P:1.012e+11
  DETECT | R: 8.815 m | V:-7.782 m/s | Beam: -20.00 deg | AoA: -20.00 deg | X:-3.015 | Y: 8.283 | P:5.574e+09
  DETECT | R: 8.889 m | V:-8.425 m/s | Beam: -20.00 deg | AoA: -20.00 deg | X:-3.040 | Y: 8.353 | P:7.770e+09
  DETECT | R: 5.010 m | V:-0.039 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.870 | Y: 4.934 | P:1.179e+11
  DETECT | R: 5.484 m | V:-0.046 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.952 | Y: 5.400 | P:4.928e+10
  DETECT | R: 0.624 m | V:-4.825 m/s | Beam:   5.00 deg | AoA:   5.00 deg | X: 0.054 | Y: 0.622 | P:1.395e+13
  DETECT | R: 0.621 m | V:-2.893 m/s | Beam:   5.00 deg | AoA:   5.00 deg | X: 0.054 | Y: 0.619 | P:1.190e+13
  DETECT | R: 6.291 m | V:-7.712 m/s | Beam:   5.00 deg | AoA:   5.00 deg | X: 0.548 | Y: 6.267 | P:3.942e+09
  DETECT | R: 1.268 m | V:-6.994 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 0.220 | Y: 1.248 | P:2.911e+11
  DETECT | R: 8.801 m | V:-7.824 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 1.528 | Y: 8.667 | P:2.051e+10
  DETECT | R: 8.892 m | V:-8.351 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 1.544 | Y: 8.757 | P:3.425e+10
  DETECT | R: 5.009 m | V: 0.001 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.296 | Y: 4.838 | P:1.840e+11
  DETECT | R: 5.491 m | V:-0.020 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.421 | Y: 5.304 | P:6.806e+10
  DETECT | R: 0.626 m | V:-4.820 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 0.359 | Y: 0.513 | P:3.334e+12
  DETECT | R: 0.626 m | V:-2.745 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 0.359 | Y: 0.513 | P:3.356e+12
  DETECT | R: 3.458 m | V:-0.027 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 1.983 | Y: 2.832 | P:6.132e+10
  DETECT | R: 1.270 m | V:-7.167 m/s | Beam:  40.00 deg | AoA:  40.00 deg | X: 0.816 | Y: 0.973 | P:1.026e+11
  DETECT | R: 8.814 m | V:-7.735 m/s | Beam:  40.00 deg | AoA:  40.00 deg | X: 5.665 | Y: 6.752 | P:5.714e+09
  DETECT | R: 8.890 m | V:-8.403 m/s | Beam:  40.00 deg | AoA:  40.00 deg | X: 5.714 | Y: 6.810 | P:7.894e+09
  DETECT | R: 5.009 m | V:-0.007 m/s | Beam:  50.00 deg | AoA:  50.00 deg | X: 3.837 | Y: 3.220 | P:1.219e+11
