RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R: 1.180m | V:-0.400m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.379m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.351m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.323m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.304m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.258m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.224m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.203m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.172m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.149m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.127m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.094m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.073m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.021m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V: 0.015m/s | A:-35.01deg | X:-0.677 | Y: 0.967
  > R: 1.180m | V: 0.159m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.238m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.317m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.373m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.418m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.456m/s | A: -3.25deg | X:-0.067 | Y: 1.179
  > R: 1.180m | V: 0.489m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.526m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.561m/s | A: -5.43deg | X:-0.112 | Y: 1.175
  > R: 1.180m | V: 0.611m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.640m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.660m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.739m/s | A: 12.35deg | X: 0.252 | Y: 1.153
  > R: 1.180m | V: 0.757m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.847m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V: 0.926m/s | A:-62.99deg | X:-1.052 | Y: 0.536
  > R: 1.180m | V: 0.997m/s | A:-65.42deg | X:-1.073 | Y: 0.491
  > R: 1.180m | V: 1.018m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.082m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.151m/s | A: 15.73deg | X: 0.320 | Y: 1.136
  > R: 1.180m | V: 1.233m/s | A: 44.48deg | X: 0.827 | Y: 0.842
  > R: 1.180m | V: 1.300m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.353m/s | A: 53.16deg | X: 0.945 | Y: 0.708

FRAME 2 | Timestamp: 1773105865.5978 | Latency: 32.97ms
  > R:-0.019m | V:-1.320m/s | A:-30.46deg | X: 0.009 | Y:-0.016
  > R:-0.019m | V:-1.370m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V:-1.314m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V:-1.293m/s | A:-62.67deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V:-1.243m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-1.176m/s | A:-62.69deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V:-1.137m/s | A:-64.85deg | X: 0.017 | Y:-0.008
  > R:-0.019m | V:-1.075m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-1.017m/s | A:-72.44deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-1.002m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.971m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.940m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.903m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.877m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.849m/s | A:-68.97deg | X: 0.017 | Y:-0.007
  > R:-0.019m | V:-0.777m/s | A:-71.37deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-0.753m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.703m/s | A:-90.00deg | X: 0.019 | Y:-0.000
